Article,Serial,Batch,New Fixture,Status,Quantity
CR08000512,,CH00,S06,Available,1
CR09000614,,CH00,S06,Available,1
CR09000616,,CH00,S05,Available,1
CR09000616,,CH00,S06,Available,1
CR40831894,,CH00,UA CS Jewelry Parts,Available,1
CR65100028,,FR00,S01,Available,1
CR65100028,,FR00,UA Fragance,Available,6
CR65100035,,FR00,UA Fragance Men,Available,1
CR65100036,,FR00,S01,Available,1
CR65100036,,FR00,UA Fragance Men,Available,7
CR65100037,,FR00,S01,Available,1
CR65100037,,FR00,UA Fragance Men,Available,3
CR65100038,,FR00,S01,Available,2
CR65100038,,FR00,UA Fragance Men,Available,5
CR65100039,,FR00,UA Fragance,Available,1
CR65150002,,FR00,UA Fragance Men,Available,2
CR65417040,,FR00,S01,Available,2
CR66100014,,FR00,UA Fragance Men,Available,6
CR66100016,,FR00,UA Fragance Men,Available,4
CR66100029,,FR00,UA Fragance Men,Available,2
CR69817440,,FR00,UA Fragance Men,Available,1
CR80083231,THC588,,UJ Trinity Brac,Available,1
CR80083231,THD229,,UJ Trinity Brac,Available,1
CRB3041200,SOY327,,UJ Trinity Brac,Available,1
CRB3045500,RBB466,,S05,Available,1
CRB3045700,SFJ653,,C004,Available,1
CRB3046900,PUF404,,UJ Clou,Available,1
CRB3046900,QTM078,,UJ Clou,Available,1
CRB3047100,QWS357,,UJ Amulette,Available,1
CRB3047100,RDW784,,UJ Amulette,Available,1
CRB3047100,RVR399,,UJ Amulette,Available,1
CRB3047100,SBX441,,UJ Amulette,Available,1
CRB3047200,QUF251,,UJ Amulette,Available,1
CRB3047200,RHN604,,UJ Amulette,Available,1
CRB3047200,SHH303,,UJ Amulette,Available,1
CRB3153113,THM802,,UJ Misc Earrings,Available,1
CRB3153118,QUD751,,UJ Misc Earrings,Available,1
CRB4002347,RWY751,,UJ Bridal WB Vendome,Available,1
CRB4002348,TIO004,,UJ Bridal WB Vendome,Available,1
CRB4002349,TML081,,S07,Available,1
CRB4002350,TIN653,,UJ Bridal WB Vendome,Available,1
CRB4002351,SZO354,,UJ Bridal WB Vendome,Available,1
CRB4002352,TQC010,,UJ Bridal WB Vendome,Available,1
CRB4002353,QOH196,,UJ Bridal WB Vendome,Available,1
CRB4002354,RTB712,,UJ Bridal WB Vendome,Available,1
CRB4002355,TJN778,,C006,Available,1
CRB4002359,TMK806,,UJ Bridal WB Vendome,Available,1
CRB4002360,TIM760,,UJ Bridal WB Vendome,Available,1
CRB4002361,TWC079,,UJ Bridal WB Vendome,Available,1
CRB4002363,TCZ906,,UJ Bridal WB Vendome,Available,1
CRB4012547,OLN088,,UJ Bridal WB PG,Available,1
CRB4012551,SQD105,,UJ Bridal WB PG,Available,1
CRB4012554,JNX788,,H09,Available,1
CRB4012555,TIP614,,UJ Bridal WB PG,Available,1
CRB4012560,QWD002,,UJ Bridal WB PG,Available,1
CRB4012562,RQK502,,UJ Bridal WB PG,Available,1
CRB4012563,QWC989,,UJ Bridal WB PG,Available,1
CRB4012571,HW7273,,UJ Bridal WB PG,Available,1
CRB4031249,PSF797,,UJ Bridal WB Vendome,Available,1
CRB4031250,RTB015,,UJ Bridal WB Vendome,Available,1
CRB4031251,RSA919,,UJ Bridal WB Vendome,Available,1
CRB4031252,TMH734,,UJ Bridal WB Vendome,Available,1
CRB4031253,RSA907,,UJ Bridal WB Vendome,Available,1
CRB4031254,TDC200,,UJ Bridal WB Vendome,Available,1
CRB4031254,TJN817,,UJ Bridal WB Vendome,Available,1
CRB4031255,TDC204,,UJ Bridal WB Vendome,Available,1
CRB4031256,TTX249,,UJ Bridal WB Vendome,Available,1
CRB4031258,SMI469,,UJ Bridal WB Vendome,Available,1
CRB4031259,TDX842,,UJ Bridal WB Vendome,Available,1
CRB4031261,TUP241,,UJ Bridal WB Vendome,Available,1
CRB4031262,TUP065,,UJ Bridal WB Vendome,Available,1
CRB4031267,TPZ149,,UJ Bridal WB Vendome,Available,1
CRB4031268,KGX853,,UJ Bridal WB Vendome,Available,1
CRB4031355,QUT371,,UJ Bridal WB Vendome,Available,1
CRB4031357,RTB402,,UJ Bridal WB Vendome,Available,1
CRB4031358,TMK708,,UJ Bridal WB Vendome,Available,1
CRB4031359,SQC586,,UJ Bridal WB Vendome,Available,1
CRB4031360,TOP306,,UJ Bridal WB Vendome,Available,1
CRB4031361,TMK993,,UJ Bridal WB Vendome,Available,1
CRB4031362,SGG083,,UJ Bridal WB Vendome,Available,1
CRB4031363,OEJ073,,UJ Bridal WB Vendome,Available,1
CRB4031365,RYF701,,UJ Bridal WB Vendome,Available,1
CRB4032448,SGI204,,UJ Love Ring SM YG,Available,1
CRB4032449,MAC973,,UJ Love Ring SM YG,Available,1
CRB4032450,QVH549,,C021,Available,1
CRB4032451,TQU664,,UJ Love Ring SM YG,Available,1
CRB4032452,QYZ092,,UJ Love Ring SM YG,Available,1
CRB4032452,TQV392,,UJ Love Ring SM YG,Available,1
CRB4032453,TBC845,,UJ Love Ring SM YG,Available,1
CRB4032454,NRZ426,,UJ Love Ring SM YG,Available,1
CRB4032454,TAX900,,UJ Love Ring SM YG,Available,1
CRB4032455,TQU937,,UJ Love Ring SM YG,Available,1
CRB4032455,TSL157,,UJ Love Ring SM YG,Available,1
CRB4032456,RXM235,,UJ Love Ring SM YG,Available,1
CRB4032457,QGO315,,UJ Love Ring SM YG,Available,1
CRB4032457,RJJ769,,UJ Love Ring SM YG,Available,1
CRB4032457,SCZ218,,UJ Love Ring SM YG,Available,1
CRB4032458,OQS209,,UJ Love Ring SM YG,Available,1
CRB4032458,TDQ651,,UJ Love Ring SM YG,Available,1
CRB4032459,SJG933,,C020,Available,1
CRB4032460,QDV002,,UJ Love Ring SM YG,Available,1
CRB4032461,PTI490,,UJ Love Ring SM YG,Available,1
CRB4032461,REV321,,UJ Love Ring SM YG,Available,1
CRB4032461,SSW638,,UJ Love Ring SM YG,Available,1
CRB4032462,TDQ517,,UJ Love Ring SM YG,Available,1
CRB4032463,SNR319,,UJ Love Ring SM YG,Available,1
CRB4032464,RJJ714,,UJ Love Ring SM YG,Available,1
CRB4032547,MIX666,,UJ Love Ring SM WG,Available,1
CRB4032549,MPF274,,UJ Love Ring SM WG,Available,1
CRB4032551,SRC134,,UJ Love Ring SM WG,Available,1
CRB4032552,OVF376,,UJ Love Ring SM WG,Available,1
CRB4032552,SCZ948,,UJ Love Ring SM WG,Available,1
CRB4032553,OPI616,,UJ Love Ring SM WG,Available,1
CRB4032553,SXG226,,UJ Love Ring SM WG,Available,1
CRB4032554,ROF335,,UJ Love Ring SM WG,Available,1
CRB4032554,TAX905,,UJ Love Ring SM WG,Available,1
CRB4032557,SGP832,,H08,Available,1
CRB4032558,PDH534,,UJ Love Ring SM WG,Available,1
CRB4032558,PQB044,,UJ Love Ring SM WG,Available,1
CRB4032558,SNR742,,UJ Love Ring SM WG,Available,1
CRB4032558,TNA630,,UJ Love Ring SM WG,Available,1
CRB4032559,TYS223,,UJ Love Ring SM WG,Available,1
CRB4032560,QMZ374,,UJ Love Ring SM WG,Available,1
CRB4032561,PXV902,,UJ Love Ring SM WG,Available,1
CRB4032563,TAX867,,S07,Available,1
CRB4032564,SBI042,,UJ Love Ring SM WG,Available,1
CRB4036752,QSM944,,C006,Available,1
CRB4036753,SQD779,,UJ Bridal WB PG,Available,1
CRB4036754,TDY208,,UJ Bridal WB PG,Available,1
CRB4036757,TTW124,,UJ Bridal WB PG,Available,1
CRB4036758,TCZ310,,H08,Available,1
CRB4036759,TKD822,,UJ Bridal WB PG,Available,1
CRB4036762,SLY930,,UJ Bridal WB PG,Available,1
CRB4036766,AQB397,,UJ Bridal WB PG,Available,1
CRB4036767,TTW141,,UJ Bridal WB PG,Available,1
CRB4036843,CZQ434,,UJ Bridal WB PG,Available,1
CRB4036855,RBH925,,UJ Bridal WB PG,Available,1
CRB4036856,NKE898,,C006,Available,1
CRB4036858,TVT667,,UJ Bridal WB PG,Available,1
CRB4036859,RHX816,,UJ Bridal WB PG,Available,1
CRB4036860,UBI249,,UJ Bridal WB PG,Available,1
CRB4036861,QBI965,,UJ Bridal WB PG,Available,1
CRB4036862,TJM649,,UJ Bridal WB PG,Available,1
CRB4036865,QFF059,,UJ Bridal WB PG,Available,1
CRB4038851,RNE260,,UJ Trinity Ring Classic & XL,Available,1
CRB4038853,RBC232,,UJ Trinity Ring Classic & XL,Available,1
CRB4038855,PZI684,,C015,Available,1
CRB4038952,RRR360,,C015,Available,1
CRB4050547,TZL215,,UJ Love Ring SM WG,Available,1
CRB4050548,PMP941,,UJ Love Ring SM WG,Available,1
CRB4050548,SIJ773,,UJ Love Ring SM WG,Available,1
CRB4050549,PQC255,,UJ Love Ring SM WG,Available,1
CRB4050549,REV349,,UJ Love Ring SM WG,Available,1
CRB4050550,QYZ693,,UJ Love Ring SM WG,Available,1
CRB4050550,RJM067,,UJ Love Ring SM WG,Available,1
CRB4050550,SCZ246,,UJ Love Ring SM WG,Available,1
CRB4050551,PHY885,,UJ Love Ring SM WG,Available,1
CRB4050553,OTE329,,UJ Love Ring SM WG,Available,1
CRB4050553,QDV554,,UJ Love Ring SM WG,Available,1
CRB4050553,QKF746,,UJ Love Ring SM WG,Available,1
CRB4050554,TUB671,,UJ Love Ring SM WG,Available,1
CRB4050555,QAM277,,UJ Love Ring SM WG,Available,1
CRB4050555,SCZ826,,UJ Love Ring SM WG,Available,1
CRB4050556,TFU200,,UJ Love Ring SM WG,Available,1
CRB4050556,TMN096,,UJ Love Ring SM WG,Available,1
CRB4050557,QJD675,,UJ Love Ring SM WG,Available,1
CRB4050560,SJE969,,UJ Love Ring SM WG,Available,1
CRB4050560,SRC544,,UJ Love Ring SM WG,Available,1
CRB4050657,QJD449,,UJ Love Ring SM WG,Available,1
CRB4050657,RYR794,,H08,Available,1
CRB4050746,REL369,,UJ Love Ring PG,Available,1
CRB4050748,TEB513,,UJ Love Ring PG,Available,1
CRB4050749,PXW885,,UJ Love Ring PG,Available,1
CRB4050749,RRB599,,UJ Love Ring PG,Available,1
CRB4050750,QNB871,,UJ Love Ring PG,Available,1
CRB4050750,QTP876,,C023,Available,1
CRB4050751,PGW029,,UJ Love Ring PG,Available,1
CRB4050752,RZS957,,UJ Love Ring PG,Available,1
CRB4050753,PTM617,,UJ Love Ring PG,Available,1
CRB4050754,QJI997,,UJ Love Ring PG,Available,1
CRB4050755,LYP782,,UJ Love Ring PG,Available,1
CRB4050756,OHV515,,UJ Love Ring PG,Available,1
CRB4050757,RZR470,,UJ Love Ring PG,Available,1
CRB4050758,OTE754,,UJ Love Ring PG,Available,1
CRB4050758,PID025,,UJ Love Ring PG,Available,1
CRB4050849,IKN873,,C023,Available,1
CRB4050853,TSL702,,UJ Love Ring PG,Available,1
CRB4050854,UBT239,,UJ Love Ring PG,Available,1
CRB4051350,TML567,,UJ Bridal DER,Available,1
CRB4051354,MIY971,,C006,Available,1
CRB4051359,RYR446,,UJ Bridal DER,Available,1
CRB4052150,IGG004,,H05,Available,1
CRB4052152,MNK669,,C005,Available,1
CRB4052153,SHN847,,UJ Bridal WB Vendome,Available,1
CRB4052154,RCL559,,UJ Bridal WB Vendome,Available,1
CRB4052155,TWH837,,UJ Bridal WB Vendome,Available,1
CRB4052156,OST730,,UJ Bridal WB Vendome,Available,1
